window_num,window_start,window_end,window_center,feature,importance,rank,r2,mae,rmse,n_samples
0,2009-10-26,2015-07-27,2012-09-10 00:00:00,revenue_lag1,0.3214045355297986,1,0.6543311389292915,0.09001931757484126,0.1520047337866948,26
0,2009-10-26,2015-07-27,2012-09-10 00:00:00,vix_level_lag1,0.20702767116257217,2,0.6543311389292915,0.09001931757484126,0.1520047337866948,26
0,2009-10-26,2015-07-27,2012-09-10 00:00:00,tnx_change_3m_lag1,0.16792930339328163,3,0.6543311389292915,0.09001931757484126,0.1520047337866948,26
0,2009-10-26,2015-07-27,2012-09-10 00:00:00,rev_qoq_lag1,0.15354303555529414,4,0.6543311389292915,0.09001931757484126,0.1520047337866948,26
0,2009-10-26,2015-07-27,2012-09-10 00:00:00,rev_accel_lag1,0.05351593794632725,5,0.6543311389292915,0.09001931757484126,0.1520047337866948,26
0,2009-10-26,2015-07-27,2012-09-10 00:00:00,vix_change_3m_lag1,0.042015935675986264,6,0.6543311389292915,0.09001931757484126,0.1520047337866948,26
0,2009-10-26,2015-07-27,2012-09-10 00:00:00,rev_yoy_lag1,0.04119279369242532,7,0.6543311389292915,0.09001931757484126,0.1520047337866948,26
0,2009-10-26,2015-07-27,2012-09-10 00:00:00,tnx_yield_lag1,0.013370787044314728,8,0.6543311389292915,0.09001931757484126,0.1520047337866948,26
1,2011-01-31,2017-01-30,2014-01-30 12:00:00,vix_level_lag1,0.49179849475999343,1,0.5852598938541431,0.09444233765304606,0.13401270145903643,24
1,2011-01-31,2017-01-30,2014-01-30 12:00:00,rev_yoy_lag1,0.11653711802247797,2,0.5852598938541431,0.09444233765304606,0.13401270145903643,24
1,2011-01-31,2017-01-30,2014-01-30 12:00:00,tnx_yield_lag1,0.10029580594009359,3,0.5852598938541431,0.09444233765304606,0.13401270145903643,24
1,2011-01-31,2017-01-30,2014-01-30 12:00:00,tnx_change_3m_lag1,0.09826265299201757,4,0.5852598938541431,0.09444233765304606,0.13401270145903643,24
1,2011-01-31,2017-01-30,2014-01-30 12:00:00,revenue_lag1,0.08219876532811249,5,0.5852598938541431,0.09444233765304606,0.13401270145903643,24
1,2011-01-31,2017-01-30,2014-01-30 12:00:00,vix_change_3m_lag1,0.045320458748288335,6,0.5852598938541431,0.09444233765304606,0.13401270145903643,24
1,2011-01-31,2017-01-30,2014-01-30 12:00:00,rev_qoq_lag1,0.032930601199339625,7,0.5852598938541431,0.09444233765304606,0.13401270145903643,24
1,2011-01-31,2017-01-30,2014-01-30 12:00:00,rev_accel_lag1,0.03265610300967692,8,0.5852598938541431,0.09444233765304606,0.13401270145903643,24
2,2012-07-30,2018-07-30,2015-07-30 12:00:00,vix_level_lag1,0.3313837394154893,1,0.5580014306232205,0.10196944675325557,0.1428037047953118,24
2,2012-07-30,2018-07-30,2015-07-30 12:00:00,vix_change_3m_lag1,0.18469633351309356,2,0.5580014306232205,0.10196944675325557,0.1428037047953118,24
2,2012-07-30,2018-07-30,2015-07-30 12:00:00,tnx_change_3m_lag1,0.18043865049224478,3,0.5580014306232205,0.10196944675325557,0.1428037047953118,24
2,2012-07-30,2018-07-30,2015-07-30 12:00:00,revenue_lag1,0.15415926739406735,4,0.5580014306232205,0.10196944675325557,0.1428037047953118,24
2,2012-07-30,2018-07-30,2015-07-30 12:00:00,tnx_yield_lag1,0.07149784751936568,5,0.5580014306232205,0.10196944675325557,0.1428037047953118,24
2,2012-07-30,2018-07-30,2015-07-30 12:00:00,rev_yoy_lag1,0.029728848824478064,6,0.5580014306232205,0.10196944675325557,0.1428037047953118,24
2,2012-07-30,2018-07-30,2015-07-30 12:00:00,rev_accel_lag1,0.026408644359274525,7,0.5580014306232205,0.10196944675325557,0.1428037047953118,24
2,2012-07-30,2018-07-30,2015-07-30 12:00:00,rev_qoq_lag1,0.02168666848198667,8,0.5580014306232205,0.10196944675325557,0.1428037047953118,24
3,2014-04-28,2020-01-27,2017-03-13 00:00:00,tnx_yield_lag1,0.26086314592134685,1,0.5837057928586052,0.1148288818993373,0.1467740493246893,24
3,2014-04-28,2020-01-27,2017-03-13 00:00:00,vix_change_3m_lag1,0.17301985540967452,2,0.5837057928586052,0.1148288818993373,0.1467740493246893,24
3,2014-04-28,2020-01-27,2017-03-13 00:00:00,vix_level_lag1,0.13148694292721416,3,0.5837057928586052,0.1148288818993373,0.1467740493246893,24
3,2014-04-28,2020-01-27,2017-03-13 00:00:00,rev_yoy_lag1,0.1296973645306741,4,0.5837057928586052,0.1148288818993373,0.1467740493246893,24
3,2014-04-28,2020-01-27,2017-03-13 00:00:00,revenue_lag1,0.11774141570365142,5,0.5837057928586052,0.1148288818993373,0.1467740493246893,24
3,2014-04-28,2020-01-27,2017-03-13 00:00:00,tnx_change_3m_lag1,0.08583197314954387,6,0.5837057928586052,0.1148288818993373,0.1467740493246893,24
3,2014-04-28,2020-01-27,2017-03-13 00:00:00,rev_accel_lag1,0.05431189630032604,7,0.5837057928586052,0.1148288818993373,0.1467740493246893,24
3,2014-04-28,2020-01-27,2017-03-13 00:00:00,rev_qoq_lag1,0.047047406057569116,8,0.5837057928586052,0.1148288818993373,0.1467740493246893,24
4,2015-10-26,2021-08-02,2018-09-13 12:00:00,tnx_yield_lag1,0.3167964036288044,1,0.6119195851717487,0.1055209393931205,0.13523362204887424,24
4,2015-10-26,2021-08-02,2018-09-13 12:00:00,vix_change_3m_lag1,0.15622443041975667,2,0.6119195851717487,0.1055209393931205,0.13523362204887424,24
4,2015-10-26,2021-08-02,2018-09-13 12:00:00,rev_yoy_lag1,0.13338148769930597,3,0.6119195851717487,0.1055209393931205,0.13523362204887424,24
4,2015-10-26,2021-08-02,2018-09-13 12:00:00,tnx_change_3m_lag1,0.12297107010669699,4,0.6119195851717487,0.1055209393931205,0.13523362204887424,24
4,2015-10-26,2021-08-02,2018-09-13 12:00:00,rev_qoq_lag1,0.09740416521766437,5,0.6119195851717487,0.1055209393931205,0.13523362204887424,24
4,2015-10-26,2021-08-02,2018-09-13 12:00:00,rev_accel_lag1,0.07575024789687151,6,0.6119195851717487,0.1055209393931205,0.13523362204887424,24
4,2015-10-26,2021-08-02,2018-09-13 12:00:00,revenue_lag1,0.04991975878172281,7,0.6119195851717487,0.1055209393931205,0.13523362204887424,24
4,2015-10-26,2021-08-02,2018-09-13 12:00:00,vix_level_lag1,0.047552436249177384,8,0.6119195851717487,0.1055209393931205,0.13523362204887424,24
5,2017-05-01,2023-01-30,2020-03-16 00:00:00,rev_yoy_lag1,0.3395435462056834,1,0.6031050576959933,0.1285081124625613,0.1480540174222846,24
5,2017-05-01,2023-01-30,2020-03-16 00:00:00,tnx_yield_lag1,0.16055798646066272,2,0.6031050576959933,0.1285081124625613,0.1480540174222846,24
5,2017-05-01,2023-01-30,2020-03-16 00:00:00,rev_accel_lag1,0.10887104187838023,3,0.6031050576959933,0.1285081124625613,0.1480540174222846,24
5,2017-05-01,2023-01-30,2020-03-16 00:00:00,vix_change_3m_lag1,0.09896462956999565,4,0.6031050576959933,0.1285081124625613,0.1480540174222846,24
5,2017-05-01,2023-01-30,2020-03-16 00:00:00,tnx_change_3m_lag1,0.09889239142429432,5,0.6031050576959933,0.1285081124625613,0.1480540174222846,24
5,2017-05-01,2023-01-30,2020-03-16 00:00:00,rev_qoq_lag1,0.074380097218307,6,0.6031050576959933,0.1285081124625613,0.1480540174222846,24
5,2017-05-01,2023-01-30,2020-03-16 00:00:00,revenue_lag1,0.06340490562883454,7,0.6031050576959933,0.1285081124625613,0.1480540174222846,24
5,2017-05-01,2023-01-30,2020-03-16 00:00:00,vix_level_lag1,0.05538540161384227,8,0.6031050576959933,0.1285081124625613,0.1480540174222846,24
6,2018-10-29,2024-07-29,2021-09-13 00:00:00,revenue_lag1,0.20669796633068024,1,0.6526510578151623,0.12801416867159152,0.1453660114345668,24
6,2018-10-29,2024-07-29,2021-09-13 00:00:00,tnx_yield_lag1,0.18369121606092675,2,0.6526510578151623,0.12801416867159152,0.1453660114345668,24
6,2018-10-29,2024-07-29,2021-09-13 00:00:00,rev_yoy_lag1,0.18217060352990777,3,0.6526510578151623,0.12801416867159152,0.1453660114345668,24
6,2018-10-29,2024-07-29,2021-09-13 00:00:00,rev_accel_lag1,0.12952061279399057,4,0.6526510578151623,0.12801416867159152,0.1453660114345668,24
6,2018-10-29,2024-07-29,2021-09-13 00:00:00,vix_change_3m_lag1,0.09950837751844326,5,0.6526510578151623,0.12801416867159152,0.1453660114345668,24
6,2018-10-29,2024-07-29,2021-09-13 00:00:00,rev_qoq_lag1,0.08358313665068896,6,0.6526510578151623,0.12801416867159152,0.1453660114345668,24
6,2018-10-29,2024-07-29,2021-09-13 00:00:00,vix_level_lag1,0.06811793368706497,7,0.6526510578151623,0.12801416867159152,0.1453660114345668,24
6,2018-10-29,2024-07-29,2021-09-13 00:00:00,tnx_change_3m_lag1,0.046710153428297485,8,0.6526510578151623,0.12801416867159152,0.1453660114345668,24
